Course	Room	Teacher	Time	Days	Students
257	86	167	(14, 16)	MWF	1118 1165 1232 1244 1293 1298 1429 1450 1454 1533 1590 1626 1641 1715 1795 2077 2091 2138 2244 2301
258	82	168	(9, 11)	MWF	1131 1137 1165 1218 1246 1563 1618 1714 1718 1988 2044 2063 2156 2247 2248
259	76	169	(18, 19)	MTWTHF	1118 1121 1123 1128 1134 1137 1151 1152 1185 1321 1322 1323 1329 1332 1342 1343 1346 1350 1368 1397 1402 1413 1474 1480 1497 1503 1504 1522 1530 1558 1560 1570 1571 1578 1584 1597 1615 1618 1636 1643 1670 1704 1706 1710 1729 1730 1734 1738 1763 1772 1809 1818 1829 1856 1861 1863 1882 1908 1917 1945 1967 1977 2004 2028 2049 2091 2094 2097 2103 2105 2136 2174 2182 2197 2209 2230 2232 2248 2269 2272 2273 2281 2293 2300
262	43	173	(5, 7)	MWF	1119 1733 2205
263	82	174	(6, 8)	MWF	1282 1309 1326 1407 1515 1555 1658 1707 1718 1751 1883 2031 2070 2118 2142 2165 2192 2204 2229 2280
264	88	175	(18, 19)	MTWTHF	1161 1171 1182 1238 1246 1290 1382 1385 1390 1407 1437 1447 1533 1602 1898 1943 1988 2130 2140 2224 2238 2253
266	44	177	(8, 10)	MWF	1186 1196 1439
267	8	178	(17, 19)	MWF	1120 1184 1386 1582 1747
269	69	180	(6, 8)	MWF	1120 1124 1129 1187 1301 1349 1405 1489 1531 1545 1670 1671 1800 1810 1827 1830 1899 1940 2021 2028 2182 2185 2189 2196
270	76	181	(0, 2)	TTHF	1120 1121 1128 1130 1275 1298 1321 1323 1331 1343 1350 1402 1405 1413 1421 1430 1515 1525 1568 1580 1585 1597 1605 1643 1647 1652 1670 1699 1701 1704 1740 1742 1758 1787 1789 1809 1850 1869 1870 1892 1929 1945 1967 2042 2043 2124 2144 2158 2182 2230 2232 2248 2289
271	86	182	(12, 13)	MTWTHF	1121 1136 1139 1166 1239 1241 1250 1296 1326 1339 1371 1520 1526 1601 1719 1742 1933 1946 1971 2026 2051 2103 2129 2190 2209 2250
